Title,Date,Favourites,Comments,Views,Link
Sanders Bucks NBA 2K19 Card,2018,79,10,893,https://www.deviantart.com/gordon003/art/Sanders-Bucks-NBA-2K19-Card-774309588
Carrie Magics NBA2K19 Card (V2),2018,75,8,996,https://www.deviantart.com/gordon003/art/Carrie-Magics-NBA2K19-Card-V2-774182831
Gwen 76ers NBA 2K19 Card,2018,145,20,1000,https://www.deviantart.com/gordon003/art/Gwen-76ers-NBA-2K19-Card-774053669
Dawn TimberWolves NBA 2K19 Card (V2),2018,120,21,1000,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K19-Card-V2-773902137
TD Beach Night Date (Commission),2018,120,8,2000,https://www.deviantart.com/gordon003/art/TD-Beach-Night-Date-Commission-773763368
Chloe (OC),2018,40,8,373,https://www.deviantart.com/gordon003/art/Chloe-OC-773569880
Leshawna Nuggets NBA 2K19 Card,2018,121,11,2000,https://www.deviantart.com/gordon003/art/Leshawna-Nuggets-NBA-2K19-Card-773376092
Anne Maria's Lamborghini Countach,2018,60,6,707,https://www.deviantart.com/gordon003/art/Anne-Maria-s-Lamborghini-Countach-772153702
TD Lamborghini Countach (Vector),2018,29,5,472,https://www.deviantart.com/gordon003/art/TD-Lamborghini-Countach-Vector-772142046
Scared Lindsay (Commission),2018,74,6,1000,https://www.deviantart.com/gordon003/art/Scared-Lindsay-Commission-771199604
Damien + Jen (NSFW Commission),2018,51,9,1000,https://www.deviantart.com/gordon003/art/Damien-Jen-NSFW-Commission-770898576
Gwen as Elvira (Halloween Sequel),2018,178,9,1000,https://www.deviantart.com/gordon003/art/Gwen-as-Elvira-Halloween-Sequel-770627381
Goth Carrie (Commission),2018,150,21,2000,https://www.deviantart.com/gordon003/art/Goth-Carrie-Commission-770480793
TD Characters Display Car (Part 1),2018,97,10,1000,https://www.deviantart.com/gordon003/art/TD-Characters-Display-Car-Part-1-770171035
Carrie's Mazda MX-5 (Bikini),2018,62,6,777,https://www.deviantart.com/gordon003/art/Carrie-s-Mazda-MX-5-Bikini-770047746
Carrie's Mazda MX-5 (Normal),2018,41,3,454,https://www.deviantart.com/gordon003/art/Carrie-s-Mazda-MX-5-Normal-770047592
Taylor's Ferrari 458 (Bikini),2018,76,9,1000,https://www.deviantart.com/gordon003/art/Taylor-s-Ferrari-458-Bikini-769782205
Taylor's Ferrari 458 (Normal),2018,40,4,416,https://www.deviantart.com/gordon003/art/Taylor-s-Ferrari-458-Normal-769782020
TD Ferrari 458 (Vector),2018,21,5,442,https://www.deviantart.com/gordon003/art/TD-Ferrari-458-Vector-769711072
