Title,Favourites,Comments, Link
Drowned Ophelia OC (Commission),21,6,https://www.deviantart.com/gordon003/art/Drowned-Ophelia-OC-Commission-777713141
Ophelia OC (Commission),34,5,https://www.deviantart.com/gordon003/art/Ophelia-OC-Commission-777170811
Lindsay NBA (Vector),125,5,https://www.deviantart.com/gordon003/art/Lindsay-NBA-Vector-776991621
Jasmine NBA (Vector),70,2,https://www.deviantart.com/gordon003/art/Jasmine-NBA-Vector-776991502
Taylor NBA (Vector),76,3,https://www.deviantart.com/gordon003/art/Taylor-NBA-Vector-776991383
Anne Maria NBA (Vector),71,3,https://www.deviantart.com/gordon003/art/Anne-Maria-NBA-Vector-776991227
Heather NBA (Vector),74,2,https://www.deviantart.com/gordon003/art/Heather-NBA-Vector-776991052
Sky NBA (Vector),82,7,https://www.deviantart.com/gordon003/art/Sky-NBA-Vector-776990889
Sanders NBA (Vector),42,2,https://www.deviantart.com/gordon003/art/Sanders-NBA-Vector-776990573
Carrie NBA (Vector),53,2,https://www.deviantart.com/gordon003/art/Carrie-NBA-Vector-776990157
Gwen NBA (Vector),157,5,https://www.deviantart.com/gordon003/art/Gwen-NBA-Vector-776989816
Dawn NBA (Vector),124,9,https://www.deviantart.com/gordon003/art/Dawn-NBA-Vector-776989539
TD NBA Poster - Gordon003 vs Imfamous E,86,21,https://www.deviantart.com/gordon003/art/TD-NBA-Poster-Gordon003-vs-Imfamous-E-776983748
Lindsay Hornets NBA 2K19 Card,205,18,https://www.deviantart.com/gordon003/art/Lindsay-Hornets-NBA-2K19-Card-776889639
Jasmine Spurs NBA2K19 Card,76,17,https://www.deviantart.com/gordon003/art/Jasmine-Spurs-NBA2K19-Card-776244736
Christmas Date (Commission),71,10,https://www.deviantart.com/gordon003/art/Christmas-Date-Commission-775999327
Taylor Lakers NBA 2K19 Card,83,22,https://www.deviantart.com/gordon003/art/Taylor-Lakers-NBA-2K19-Card-775721486
Kitty + Kenzo Nissan 330zx (Commission),15,6,https://www.deviantart.com/gordon003/art/Kitty-Kenzo-Nissan-330zx-Commission-775710148
Yakito + His Toyota Supras (Commission),17,16,https://www.deviantart.com/gordon003/art/Yakito-His-Toyota-Supras-Commission-775445449
Anne Maria Knicks NBA 2K19 Card,72,8,https://www.deviantart.com/gordon003/art/Anne-Maria-Knicks-NBA-2K19-Card-774844994
Heather Bulls NBA 2K19 Card,111,8,https://www.deviantart.com/gordon003/art/Heather-Bulls-NBA-2K19-Card-774710226
Sky Celtics NBA 2K19 Card,118,15,https://www.deviantart.com/gordon003/art/Sky-Celtics-NBA-2K19-Card-774577956
Sanders Bucks NBA 2K19 Card,79,10,https://www.deviantart.com/gordon003/art/Sanders-Bucks-NBA-2K19-Card-774309588
Carrie Magics NBA2K19 Card (V2),75,8,https://www.deviantart.com/gordon003/art/Carrie-Magics-NBA2K19-Card-V2-774182831
Gwen 76ers NBA 2K19 Card,145,20,https://www.deviantart.com/gordon003/art/Gwen-76ers-NBA-2K19-Card-774053669
Dawn TimberWolves NBA 2K19 Card (V2),120,21,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K19-Card-V2-773902137
TD Beach Night Date (Commission),120,8,https://www.deviantart.com/gordon003/art/TD-Beach-Night-Date-Commission-773763368
Chloe (OC),40,8,https://www.deviantart.com/gordon003/art/Chloe-OC-773569880
Leshawna Nuggets NBA 2K19 Card,121,11,https://www.deviantart.com/gordon003/art/Leshawna-Nuggets-NBA-2K19-Card-773376092
Anne Maria's Lamborghini Countach,60,6,https://www.deviantart.com/gordon003/art/Anne-Maria-s-Lamborghini-Countach-772153702
